num_units,batch_size,learning_rate,decrease_after,loss
1,1,0.001,10,0.22818028308921504
1,1,0.001,20,0.2253952225459353
1,1,0.001,30,0.19648478579386752
1,1,0.005,10,0.21827240044005075
1,1,0.005,20,0.19417324248791734
1,1,0.005,30,0.20087384186544507
1,1,0.01,10,0.1881867777160808
1,1,0.01,20,0.1932677344269699
1,1,0.01,30,0.1835443594224997
1,2,0.001,10,0.21491716324158436
1,2,0.001,20,0.22555818225977556
1,2,0.001,30,0.20815109812988425
1,2,0.005,10,0.22573568685999457
1,2,0.005,20,0.21973618134012762
1,2,0.005,30,0.21615202359433444
1,2,0.01,10,0.2215908186615638
1,2,0.01,20,0.22497248818289559
1,2,0.01,30,0.20285206723887966
1,4,0.001,10,0.23918574598600278
1,4,0.001,20,0.2231575498041117
1,4,0.001,30,0.21060856333318748
1,4,0.005,10,0.23019168399414927
1,4,0.005,20,0.22935548930797936
1,4,0.005,30,0.23830158418079592
1,4,0.01,10,0.2179471676079732
1,4,0.01,20,0.20965255543870745
1,4,0.01,30,0.22016272117506783
1,8,0.001,10,0.22875783128558463
1,8,0.001,20,0.23971501836236916
1,8,0.001,30,0.21623889005409097
1,8,0.005,10,0.22524618427708465
1,8,0.005,20,0.23127906502417797
1,8,0.005,30,0.2165231209880901
1,8,0.01,10,0.23430851045644507
1,8,0.01,20,0.22472435798285142
1,8,0.01,30,0.22965609577466856
1,16,0.001,10,0.2436222625228594
1,16,0.001,20,0.23893386013102982
1,16,0.001,30,0.24859491384254312
1,16,0.005,10,0.25902684679571186
1,16,0.005,20,0.2608750181378059
1,16,0.005,30,0.25403171665263624
1,16,0.01,10,0.2639549858165237
1,16,0.01,20,0.2594291354125401
1,16,0.01,30,0.2657834178996536
1,32,0.001,10,0.2662809120034272
1,32,0.001,20,0.2731879522215645
1,32,0.001,30,0.2718144992612443
1,32,0.005,10,0.27060454746462265
1,32,0.005,20,0.28558388296163306
1,32,0.005,30,0.2573352579800588
1,32,0.01,10,0.25871984013971294
1,32,0.01,20,0.24038294126402657
1,32,0.01,30,0.27582876637296855
16,1,0.001,10,0.2094288263557795
16,1,0.001,20,0.2097872046463824
16,1,0.001,30,0.2167507920958945
16,1,0.005,10,0.2046448317601319
16,1,0.005,20,0.1809735385229531
16,1,0.005,30,0.19249885992724103
16,1,0.01,10,0.17688406093643522
16,1,0.01,20,0.19435883480352614
16,1,0.01,30,0.17140193803692763
16,2,0.001,10,0.22099528672560206
16,2,0.001,20,0.21960775497949347
16,2,0.001,30,0.21885404749861304
16,2,0.005,10,0.2010605011908513
16,2,0.005,20,0.2095210909281137
16,2,0.005,30,0.20118011224944637
16,2,0.01,10,0.21272045064647244
16,2,0.01,20,0.19335898075182484
16,2,0.01,30,0.1989822147660098
16,4,0.001,10,0.23348648143264483
16,4,0.001,20,0.2354957416372479
16,4,0.001,30,0.2235449507551373
16,4,0.005,10,0.20320868541328413
16,4,0.005,20,0.2068811593190679
16,4,0.005,30,0.223357932185227
16,4,0.01,10,0.218232624373346
16,4,0.01,20,0.21906873527562842
16,4,0.01,30,0.18761778102730806
16,8,0.001,10,0.21443493411226092
16,8,0.001,20,0.23046337433581082
16,8,0.001,30,0.23910774824754247
16,8,0.005,10,0.2291836716094107
16,8,0.005,20,0.2097572628057228
16,8,0.005,30,0.24312723132799258
16,8,0.01,10,0.23309249023221573
16,8,0.01,20,0.19764384683573022
16,8,0.01,30,0.20499665107367174
16,16,0.001,10,0.2551906333779389
16,16,0.001,20,0.2598071503189375
16,16,0.001,30,0.2787536675075315
16,16,0.005,10,0.27719380270760013
16,16,0.005,20,0.25974355553680994
16,16,0.005,30,0.2373602120381481
16,16,0.01,10,0.2588131202841705
16,16,0.01,20,0.23783690974397478
16,16,0.01,30,0.26091675038607615
16,32,0.001,10,0.27016639709472656
16,32,0.001,20,0.2558155689599379
16,32,0.001,30,0.2737723836358988
16,32,0.005,10,0.2863889640232302
16,32,0.005,20,0.2566966470682396
16,32,0.005,30,0.25669140185949935
16,32,0.01,10,0.25510661107189253
16,32,0.01,20,0.26102534779962505
16,32,0.01,30,0.2729005363752257
32,1,0.001,10,0.21688465125647918
32,1,0.001,20,0.20179259852629225
32,1,0.001,30,0.21231828934846902
32,1,0.005,10,0.19098029022966073
32,1,0.005,20,0.20040867004965274
32,1,0.005,30,0.16620634168601717
32,1,0.01,10,0.18181091572080063
32,1,0.01,20,0.1729241837308092
32,1,0.01,30,0.18536800514019253
32,2,0.001,10,0.22177631506380044
32,2,0.001,20,0.20360623243844733
32,2,0.001,30,0.2287623848555223
32,2,0.005,10,0.20280215565888388
32,2,0.005,20,0.20879101415850082
32,2,0.005,30,0.19817604841488712
32,2,0.01,10,0.17917401860204507
32,2,0.01,20,0.17740523031438296
32,2,0.01,30,0.16802424016707349
32,4,0.001,10,0.2136456437830655
32,4,0.001,20,0.21958462809616663
32,4,0.001,30,0.22206584518810488
32,4,0.005,10,0.21841882759670042
32,4,0.005,20,0.20658549329019943
32,4,0.005,30,0.1876864828309923
32,4,0.01,10,0.22644083398693013
32,4,0.01,20,0.1909833899084127
32,4,0.01,30,0.2014760285053613
32,8,0.001,10,0.23692476524496978
32,8,0.001,20,0.22845079538957128
32,8,0.001,30,0.227790153251504
32,8,0.005,10,0.22960653619946175
32,8,0.005,20,0.2082852934891323
32,8,0.005,30,0.23044107095250543
32,8,0.01,10,0.20885996773557844
32,8,0.01,20,0.21025734577538832
32,8,0.01,30,0.22133950467379587
32,16,0.001,10,0.24912832368094967
32,16,0.001,20,0.25936376823569246
32,16,0.001,30,0.2633846210983564
32,16,0.005,10,0.2614718473182534
32,16,0.005,20,0.24635156595482016
32,16,0.005,30,0.23112571014548247
32,16,0.01,10,0.24986259442455364
32,16,0.01,20,0.2367788575730234
32,16,0.01,30,0.2615476014479151
32,32,0.001,10,0.24105478682607975
32,32,0.001,20,0.2568119336973946
32,32,0.001,30,0.25437003261638136
32,32,0.005,10,0.26982132893688276
32,32,0.005,20,0.26981135134427053
32,32,0.005,30,0.26433915012287645
32,32,0.01,10,0.2570919540693175
32,32,0.01,20,0.22684880922425468
32,32,0.01,30,0.24930397969371867
64,1,0.001,10,0.20590640040430822
64,1,0.001,20,0.20578834849762848
64,1,0.001,30,0.22107274689764347
64,1,0.005,10,0.1898658047671834
64,1,0.005,20,0.1923634178303885
64,1,0.005,30,0.1809144253350513
64,1,0.01,10,0.21230526667204686
64,1,0.01,20,0.16506451795938565
64,1,0.01,30,0.22236347746736598
64,2,0.001,10,0.21146387944243988
64,2,0.001,20,0.21371712324754247
64,2,0.001,30,0.1958434761695142
64,2,0.005,10,0.20735487710895403
64,2,0.005,20,0.19456986239496268
64,2,0.005,30,0.1764482726465981
64,2,0.01,10,0.19236948650400593
64,2,0.01,20,0.2163925974998834
64,2,0.01,30,0.230870025900175
64,4,0.001,10,0.20726672545918878
64,4,0.001,20,0.23718034658791884
64,4,0.001,30,0.20950182541361395
64,4,0.005,10,0.21958707301121838
64,4,0.005,20,0.20055065683598788
64,4,0.005,30,0.19347218185100915
64,4,0.01,10,0.20977033787178542
64,4,0.01,20,0.23154559450329476
64,4,0.01,30,0.21833991554548154
64,8,0.001,10,0.23053963454264514
64,8,0.001,20,0.21917829873426906
64,8,0.001,30,0.22528100238656099
64,8,0.005,10,0.20416817575130822
64,8,0.005,20,0.20882282167110802
64,8,0.005,30,0.21846851312889243
64,8,0.01,10,0.19129611411184635
64,8,0.01,20,0.22118123297421438
64,8,0.01,30,0.23608970867013032
64,16,0.001,10,0.2590381739274511
64,16,0.001,20,0.262708380537213
64,16,0.001,30,0.2777648646876497
64,16,0.005,10,0.24455222543680444
64,16,0.005,20,0.2595712373841484
64,16,0.005,30,0.2384512559422907
64,16,0.01,10,0.2489459919479658
64,16,0.01,20,0.2594883936756062
64,16,0.01,30,0.26337321749273335
64,32,0.001,10,0.28655006300728275
64,32,0.001,20,0.27821874618530273
64,32,0.001,30,0.2535098003891279
64,32,0.005,10,0.2566450766797336
64,32,0.005,20,0.24866053743182487
64,32,0.005,30,0.2597614684194889
64,32,0.01,10,0.27855404367986714
64,32,0.01,20,0.24972841874608454
64,32,0.01,30,0.2549836140758586
128,1,0.001,10,0.215419543151445
128,1,0.001,20,0.20187714948969068
128,1,0.001,30,0.2089545764204747
128,1,0.005,10,0.19256405797973714
128,1,0.005,20,0.2163145720150392
128,1,0.005,30,0.21388270585507513
128,1,0.01,10,0.1904788918096906
128,1,0.01,20,0.20295951681163268
128,1,0.01,30,0.21733854928950094
128,2,0.001,10,0.21850574916263796
128,2,0.001,20,0.19211686880521053
128,2,0.001,30,0.21774679309916947
128,2,0.005,10,0.18278050478899255
128,2,0.005,20,0.21916596310318642
128,2,0.005,30,0.2235366848279845
128,2,0.01,10,0.18484538273428971
128,2,0.01,20,0.21651546122892848
128,2,0.01,30,0.21792100791661245
128,4,0.001,10,0.20266698441415462
128,4,0.001,20,0.2284308390797309
128,4,0.001,30,0.20982879850099673
128,4,0.005,10,0.19432431909273257
128,4,0.005,20,0.2359252819475138
128,4,0.005,30,0.21780406135433125
128,4,0.01,10,0.1996062937772499
128,4,0.01,20,0.22122093641533042
128,4,0.01,30,0.242171215561201
128,8,0.001,10,0.2269269700320262
128,8,0.001,20,0.22598573396790703
128,8,0.001,30,0.23277105025525363
128,8,0.005,10,0.21784287803577926
128,8,0.005,20,0.22913368018168323
128,8,0.005,30,0.22816458288228736
128,8,0.01,10,0.23345990450877063
128,8,0.01,20,0.23151976207517228
128,8,0.01,30,0.24145792790178983
128,16,0.001,10,0.268852598262283
128,16,0.001,20,0.2664827355798685
128,16,0.001,30,0.2270089028016576
128,16,0.005,10,0.27727470307979946
128,16,0.005,20,0.26649947436350696
128,16,0.005,30,0.26298655204053195
128,16,0.01,10,0.2608916129706041
128,16,0.01,20,0.2546266339859872
128,16,0.01,30,0.28044587261271925
128,32,0.001,10,0.2669603959569391
128,32,0.001,20,0.2450505202671267
128,32,0.001,30,0.27851607664576117
128,32,0.005,10,0.2726579072340479
128,32,0.005,20,0.2789683701857081
128,32,0.005,30,0.2692276216902823
128,32,0.01,10,0.24695290259595187
128,32,0.01,20,0.26193238204380254
128,32,0.01,30,0.2457980029987839
